                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79153,                0.60066,                 1.0798,                0.96899,                0.93766,                0.97074,                0.81339,                0.69837,                0.37504,                 1.0093,                0.00769,                0.00769,                0.00769
                     37,                0.78934,                0.59502,                 1.0767,                0.96758,                0.93857,                0.97082,                0.81644,                0.69181,                0.37177,                 1.0061,               0.007624,               0.007624,               0.007624
                     38,                0.78676,                0.59283,                 1.0755,                0.96687,                0.94181,                  0.971,                0.82111,                0.68077,                0.36774,                 1.0012,               0.007558,               0.007558,               0.007558
                     39,                0.78586,                0.59303,                 1.0761,                0.96703,                0.94075,                0.97122,                0.82547,                0.66805,                0.36432,                0.99612,               0.007492,               0.007492,               0.007492
                     40,                0.78062,                0.58643,                 1.0734,                0.96589,                0.94131,                0.97157,                0.82783,                0.66405,                0.36218,                0.99376,               0.007426,               0.007426,               0.007426
                     41,                0.77804,                0.58532,                 1.0703,                0.96837,                0.94013,                 0.9721,                0.83069,                0.65451,                0.35959,                 0.9898,                0.00736,                0.00736,                0.00736
                     42,                 0.7793,                0.58195,                  1.071,                0.96824,                0.94066,                0.97242,                0.83235,                0.64858,                0.35701,                0.98818,               0.007294,               0.007294,               0.007294
                     43,                0.77705,                0.58035,                 1.0683,                0.96879,                0.93936,                0.97223,                0.83183,                0.64867,                0.35694,                 0.9877,               0.007228,               0.007228,               0.007228
                     44,                0.77431,                0.58055,                 1.0664,                  0.967,                0.94213,                0.97226,                0.83269,                0.64851,                0.35649,                0.98662,               0.007162,               0.007162,               0.007162
                     45,                0.77281,                0.57456,                 1.0678,                0.96964,                0.94199,                0.97268,                0.83384,                0.64841,                0.35621,                0.98512,               0.007096,               0.007096,               0.007096
                     46,                0.77039,                 0.5744,                 1.0672,                0.96922,                0.94402,                0.97308,                 0.8365,                0.64122,                0.35362,                0.98258,                0.00703,                0.00703,                0.00703
                     47,                0.77072,                0.57292,                 1.0648,                0.96819,                0.94469,                0.97304,                0.83872,                 0.6326,                0.35026,                0.97967,               0.006964,               0.006964,               0.006964
