                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.64823,                0.43793,                0.99164,                0.97211,                0.95403,                0.97673,                   0.83,                0.67409,                 0.3321,                 0.9833,               0.002872,               0.002872,               0.002872
                     38,                0.64264,                0.43049,                0.98907,                0.97203,                0.95362,                0.97697,                0.83146,                0.67018,                0.33055,                0.98102,               0.002674,               0.002674,               0.002674
                     39,                0.63658,                0.42247,                0.98565,                0.97124,                0.95499,                0.97711,                 0.8315,                0.66911,                 0.3298,                0.97998,               0.002476,               0.002476,               0.002476
                     40,                0.63083,                0.41771,                0.98387,                0.97102,                0.95613,                 0.9771,                 0.8324,                 0.6686,                0.32928,                0.97933,               0.002278,               0.002278,               0.002278
                     41,                0.56032,                0.30783,                0.95934,                0.97354,                0.95427,                0.97719,                0.83424,                0.66498,                0.32807,                0.97694,                0.00208,                0.00208,                0.00208
                     42,                 0.5451,                0.29917,                0.94601,                0.97385,                0.95443,                0.97717,                0.83875,                0.65221,                0.32551,                0.97116,               0.001882,               0.001882,               0.001882
                     43,                0.53217,                 0.2897,                0.94008,                0.97482,                0.95411,                0.97734,                0.84343,                0.63991,                0.32253,                0.96582,               0.001684,               0.001684,               0.001684
                     44,                0.52052,                0.28109,                0.93784,                  0.975,                0.95485,                0.97736,                0.84651,                0.62919,                0.31945,                0.96176,               0.001486,               0.001486,               0.001486
                     45,                0.50956,                0.27322,                0.93116,                0.97499,                0.95576,                0.97748,                0.84958,                0.62056,                0.31703,                0.95878,               0.001288,               0.001288,               0.001288
                     46,                0.50217,                0.26391,                0.92846,                0.97582,                0.95605,                0.97752,                0.85195,                0.61197,                0.31461,                0.95628,                0.00109,                0.00109,                0.00109
                     47,                0.49011,                0.25733,                0.91939,                0.97385,                0.95858,                0.97743,                 0.8549,                0.60349,                0.31254,                0.95378,               0.000892,               0.000892,               0.000892
                     48,                0.48175,                0.24993,                0.91567,                0.97246,                0.96087,                 0.9773,                0.85714,                 0.5964,                0.31072,                0.95175,               0.000694,               0.000694,               0.000694
                     49,                0.47278,                0.24276,                0.91209,                0.97396,                0.96109,                0.97733,                0.85926,                0.59084,                0.30936,                0.95036,               0.000496,               0.000496,               0.000496
                     50,                 0.4628,                0.23575,                0.90483,                0.97461,                0.96041,                0.97726,                0.86096,                0.58579,                0.30807,                0.94874,               0.000298,               0.000298,               0.000298
